name,abbr,impact_factor,acception_rate,company_ID
UltPoeHoblVinewmOulz,VTjIw,18.51,0.8,9
OAitWzVwJOuXjUVOFqlB,wvxYL,13.16,0.82,11
JzBSUqJGwoHclaoWPoGz,AeAbo,23.9,0.67,15
MhpmBPOdXMYUxKpZrxwR,dqsfb,11.93,0.31,12
NrhBAoLMbmsfCZnKWWan,LBmsl,43.62,0.52,14
BRLlVqzGMsumnEFoQAxa,JwwYF,35.61,0.44,10
yLaWvOYJUNKrAunzfsSR,fndFK,16.9,0.4,2
kFsrnzyzvnCiqSSyaqwQ,LbZmA,36.7,0.76,2
VINcFJnMxLogvhWMTGBg,gHoop,22.32,0.27,13
emkIRFzcDZpaNDeXOISu,sjOCx,26.32,0.73,7
YENxlCCtsgpopPWPlllh,bCuUI,31.75,0.86,17
fzfBWYLRAnlSbTQllhSH,IVMJE,0.78,0.49,11
gWRGEVcqaNHkggnxBrjJ,iUaGM,38.6,0.74,15
meiMJEFxuJMFIeOFXRmX,Cmlxb,28.5,0.61,20
VjGZSSdjYlmzBIdkejbW,ofvca,8.81,0.48,12
KyKCsNwFayGjHNCPCnzA,TXREk,34.94,0.37,18
GxCrdLxHMYdNQwvGtNbT,pPLfS,5.33,0.57,13
UsGNWHvgRIrzqJiKFkJv,eGOEr,20.4,0.46,20
aHJpyOePrVnLMGmXfuoo,RDnMj,48.4,0.87,2
cSfZjOqbrKHmzaQdKmxe,dGAGp,27.97,0.22,8
